z = 116.743

:                  x     v     b      a       c       :=
July      2  21   0     0     40.2   7.5   0.15761
July      2  22   0     0     40.2   7.5   0.15742
July      2  23   0     0     40.2   7.5   0.15758
July      2  24   0     0     40.2   7.5   0.15741
July      3  1    0     0     40.2   7.5   0.15971
July      3  2    0     0     40.2   7.5   0.15702
July      3  3    0     0     40.2   7.5   0.15536
July      3  4    0     0     40.2   7.5   0.15479
July      3  5    0     0     40.2   7.5   0.15443
July      3  6    0     0     40.2   7.5   0.15429
July      3  7    0     0     40.2   7.5   0.15491
July      3  8    0     0     40.2   7.5   0.15514
July      3  9    0     0     40.2   7.5   0.15594
July      3  10   0     0     40.2   7.5   0.15457
July      3  11   0     0     40.2   7.5   0.14451
July      3  12   1.3   0     41.5   7.5   0.10784
July      3  13   7.5   0     49     7.5   0.09607
July      3  14   7.5   0     56.5   7.5   0.07075
July      3  15   7.5   0     64     7.5   0.07776
July      3  16   0     0     64     7.5   0.13251
July      3  17   0     0     64     7.5   0.15891
July      3  18   0     0     64     7.5   0.16066
July      3  19   0     0     64     7.5   0.16117
July      3  20   0     0     64     7.5   0.16137
July      3  21   0     0     64     7.5   0.16322
July      3  22   0     0     64     7.5   0.16287
July      3  23   0     0     64     7.5   0.16141
July      3  24   0     0     64     7.5   0.16066
July      4  1    0     0     64     7.5   0.15918
July      4  2    0     0     64     7.5   0.15826
July      4  3    0     0     64     7.5   0.15783
July      4  4    0     0     64     7.5   0.1577
July      4  5    0     0     64     7.5   0.15759
July      4  6    0     0     64     7.5   0.15825
July      4  7    0     0     64     7.5   0.15935
July      4  8    0     5.5   58.5   0     0.15864
July      4  9    0     0     58.5   0     0.1607
July      4  10   0     0     58.5   0     0.16153
July      4  11   0     0     58.5   0     0.16234
July      4  12   0     0     58.5   0     0.16199
July      4  13   0     0     58.5   0     0.16293
July      4  14   0     0     58.5   0     0.16286
July      4  15   0     0     58.5   0     0.16178
July      4  16   0     0     58.5   0     0.16107
July      4  17   0     5.5   53     0     0.15848
July      4  18   0     0     53     7.5   0.16271
July      4  19   0     0     53     7.5   0.16279
July      4  20   0     0     53     7.5   0.16163
July      4  21   0     0     53     7.5   0.15856
July      4  22   0     0     53     7.5   0.15805
July      4  23   0     0     53     7.5   0.15662
July      4  24   0     0     53     7.5   0.15454
July      5  1    0     0     53     7.5   0.16441
July      5  2    0     0     53     7.5   0.16386
July      5  3    0     0     53     7.5   0.16334
July      5  4    0     0     53     7.5   0.16301
July      5  5    0     0     53     7.5   0.16261
July      5  6    0     0     53     7.5   0.16374
July      5  7    0     0     53     7.5   0.16182
July      5  8    0     5.5   47.5   0     0.14603
July      5  9    0     0     47.5   0     0.16334
July      5  10   0     0     47.5   0     0.16154
July      5  11   0     0     47.5   0     0.16401
July      5  12   0     0     47.5   0     0.16346
July      5  13   0     0     47.5   0     0.16322
July      5  14   0     0     47.5   0     0.1636
July      5  15   0     0     47.5   0     0.16399
July      5  16   0     0     47.5   0     0.16219
July      5  17   0     5.5   42     0     0.16292
July      5  18   0     0     42     7.5   0.16279
July      5  19   0     0     42     7.5   0.16221
July      5  20   0     0     42     7.5   0.16406
July      5  21   0     0     42     7.5   0.16231
July      5  22   0     0     42     7.5   0.16194
July      5  23   0     0     42     7.5   0.16046
July      5  24   0     0     42     7.5   0.14647
July      6  1    0     0     42     7.5   0.16349
July      6  2    0     0     42     7.5   0.14432
July      6  3    0     0     42     7.5   0.13989
July      6  4    0     0     42     7.5   0.1379
July      6  5    3.8   0     45.8   7.5   0.13634
July      6  6    0     0     45.8   7.5   0.13737
July      6  7    0     0     45.8   7.5   0.15747
July      6  8    0     5.5   40.3   0     0.16634
July      6  9    0     0     40.3   0     0.17109
July      6  10   0     0     40.3   0     0.1711
July      6  11   0     0     40.3   0     0.17298
July      6  12   0     0     40.3   0     0.17127
July      6  13   0     0     40.3   0     0.16919
July      6  14   0     0     40.3   0     0.16822
July      6  15   0     0     40.3   0     0.16704
July      6  16   0     0     40.3   0     0.16321
July      6  17   0     5.5   34.8   0     0.17049
July      6  18   0     0     34.8   7.5   0.17179
July      6  19   0     0     34.8   7.5   0.17126
July      6  20   0     0     34.8   7.5   0.1722
July      6  21   0     0     34.8   7.5   0.17135
July      6  22   0     0     34.8   7.5   0.17097
July      6  23   0     0     34.8   7.5   0.16891
July      6  24   0     0     34.8   7.5   0.16776
July      7  1    0     0     34.8   7.5   0.15999
July      7  2    0     0     34.8   7.5   0.15888
July      7  3    0     0     34.8   7.5   0.15345
July      7  4    0     0     34.8   7.5   0.14061
July      7  5    0     0     34.8   7.5   0.13992
July      7  6    0     0     34.8   7.5   0.15113
July      7  7    0     0     34.8   7.5   0.16448
July      7  8    0     5.5   29.3   0     0.16694
July      7  9    0     0     29.3   0     0.16909
July      7  10   0     0     29.3   0     0.16873
July      7  11   0     0     29.3   0     0.16881
July      7  12   0     0     29.3   0     0.16892
July      7  13   0     0     29.3   0     0.16775
July      7  14   0     0     29.3   0     0.16668
July      7  15   0     0     29.3   0     0.16562
July      7  16   0     0     29.3   0     0.15907
July      7  17   0     5.5   23.8   0     0.15502
July      7  18   0     0     23.8   7.5   0.16771
July      7  19   0     0     23.8   7.5   0.16748
July      7  20   0     0     23.8   7.5   0.16717
July      7  21   0     0     23.8   7.5   0.16661
July      7  22   0     0     23.8   7.5   0.16557
July      7  23   0     0     23.8   7.5   0.16104
July      7  24   0     0     23.8   7.5   0.15906
July      8  1    0     0     23.8   7.5   0.15785
July      8  2    0     0     23.8   7.5   0.15308
July      8  3    0     0     23.8   7.5   0.15149
July      8  4    0     0     23.8   7.5   0.15062
July      8  5    0     0     23.8   7.5   0.14553
July      8  6    0     0     23.8   7.5   0.15093
July      8  7    0     0     23.8   7.5   0.15757
July      8  8    0     5.5   18.3   0     0.16697
July      8  9    0     0     18.3   0     0.16976
July      8  10   0     0     18.3   0     0.1698
July      8  11   0     0     18.3   0     0.17007
July      8  12   0     0     18.3   0     0.16959
July      8  13   0     0     18.3   0     0.1692
July      8  14   0     0     18.3   0     0.16358
July      8  15   0     0     18.3   0     0.15815
July      8  16   0     0     18.3   0     0.15935
July      8  17   0     5.5   12.8   0     0.16611
July      8  18   0     0     12.8   7.5   0.16889
July      8  19   0     0     12.8   7.5   0.16919
July      8  20   0     0     12.8   7.5   0.16763
July      8  21   0     0     12.8   7.5   0.16008
July      8  22   0     0     12.8   7.5   0.16284
July      8  23   0     0     12.8   7.5   0.15998
July      8  24   0     0     12.8   7.5   0.15994
July      9  1    0     0     12.8   7.5   0.16176
July      9  2    0     0     12.8   7.5   0.15909
July      9  3    0     0     12.8   7.5   0.15796
July      9  4    0     0     12.8   7.5   0.15513
July      9  5    0     0     12.8   7.5   0.14602
July      9  6    0     0     12.8   7.5   0.13607
July      9  7    0     0     12.8   7.5   0.13196
July      9  8    0     0     12.8   7.5   0.14597
July      9  9    0     0     12.8   7.5   0.1499
July      9  10   0     0     12.8   7.5   0.14323
July      9  11   0     0     12.8   7.5   0.1076
July      9  12   0     0     12.8   7.5   0.10682
July      9  13   0     0     12.8   7.5   0.09653
July      9  14   0     0     12.8   7.5   0.07673
July      9  15   7.5   0     20.3   7.5   0.02264
July      9  16   7.5   0     27.8   7.5   0.01232
July      9  17   7.5   0     35.3   7.5   0.01654
July      9  18   0     0     35.3   7.5   0.05185
July      9  19   0     0     35.3   7.5   0.09002
July      9  20   0     0     35.3   7.5   0.09498
July      9  21   0     0     35.3   7.5   0.10086
July      9  22   0     0     35.3   7.5   0.09465
July      9  23   0     0     35.3   7.5   0.11306
July      9  24   0     0     35.3   7.5   0.07989
July      10 1    0     0     35.3   7.5   0.07712
July      10 2    0     0     35.3   7.5   0.04932
July      10 3    0     0     35.3   7.5   0.05003
July      10 4    0     0     35.3   7.5   0.03139
July      10 5    0     0     35.3   7.5   0.06331
July      10 6    0     0     35.3   7.5   0.05857
July      10 7    0     0     35.3   7.5   0.06767
July      10 8    0     0     35.3   7.5   0.04189
July      10 9    0     0     35.3   7.5   0.03675
July      10 10   6.2   0     41.5   7.5   0.03001
July      10 11   0     0     41.5   7.5   0.03008
July      10 12   0     0     41.5   7.5   0.04977
July      10 13   7.5   0     49     7.5   0.02293
July      10 14   7.5   0     56.5   7.5   0.02382
July      10 15   7.5   0     64     7.5   0.02381
July      10 16   0     0     64     7.5   0.07881
July      10 17   0     0     64     7.5   0.1256
July      10 18   0     0     64     7.5   0.14853
July      10 19   0     0     64     7.5   0.14985
July      10 20   0     0     64     7.5   0.16114
July      10 21   0     0     64     7.5   0.16297
July      10 22   0     0     64     7.5   0.16044
July      10 23   0     0     64     7.5   0.16043
July      10 24   0     0     64     7.5   0.15999
July      11 1    0     0     64     7.5   0.15139
July      11 2    0     0     64     7.5   0.15021
July      11 3    0     0     64     7.5   0.14956
July      11 4    0     0     64     7.5   0.14928
July      11 5    0     0     64     7.5   0.14927
July      11 6    0     0     64     7.5   0.15028
July      11 7    0     0     64     7.5   0.15769
July      11 8    0     5.5   58.5   0     0.1724
July      11 9    0     0     58.5   0     0.18994
July      11 10   0     0     58.5   0     0.19326
July      11 11   0     0     58.5   0     0.1899
July      11 12   0     0     58.5   0     0.18742
July      11 13   0     0     58.5   0     0.18676
July      11 14   0     0     58.5   0     0.18372
July      11 15   0     0     58.5   0     0.18
July      11 16   0     0     58.5   0     0.17997
July      11 17   0     5.5   53     0     0.18505
July      11 18   0     0     53     7.5   0.1884
July      11 19   0     0     53     7.5   0.18686
July      11 20   0     0     53     7.5   0.18624
July      11 21   0     0     53     7.5   0.18246
July      11 22   0     0     53     7.5   0.1807
July      11 23   0     0     53     7.5   0.17799
July      11 24   0     0     53     7.5   0.17231
July      12 1    0     0     53     7.5   0.18676
July      12 2    0     0     53     7.5   0.18536
July      12 3    0     0     53     7.5   0.18213
July      12 4    0     0     53     7.5   0.17889
July      12 5    0     0     53     7.5   0.17562
July      12 6    0     0     53     7.5   0.18165
July      12 7    0     0     53     7.5   0.18617
July      12 8    0     5.5   47.5   0     0.18902
July      12 9    0     0     47.5   0     0.18926
July      12 10   0     0     47.5   0     0.18777
July      12 11   0     0     47.5   0     0.18828
July      12 12   0     0     47.5   0     0.1874
July      12 13   0     0     47.5   0     0.18666
July      12 14   0     0     47.5   0     0.18615
July      12 15   0     0     47.5   0     0.18616
July      12 16   0     0     47.5   0     0.18574
July      12 17   0     5.5   42     0     0.18589
July      12 18   0     0     42     7.5   0.17436
July      12 19   0     0     42     7.5   0.17874
July      12 20   0     0     42     7.5   0.18004
July      12 21   0     0     42     7.5   0.18671
July      12 22   0     0     42     7.5   0.17838
July      12 23   0     0     42     7.5   0.17025
July      12 24   0     0     42     7.5   0.16732
July      13 1    0     0     42     7.5   0.17723
July      13 2    0     0     42     7.5   0.17591
July      13 3    0     0     42     7.5   0.17521
July      13 4    0     0     42     7.5   0.173
July      13 5    0     0     42     7.5   0.17502
July      13 6    0     0     42     7.5   0.17594
July      13 7    0     0     42     7.5   0.17883
July      13 8    0     5.5   36.5   0     0.18797
July      13 9    0     0     36.5   0     0.18861
July      13 10   0     0     36.5   0     0.18887
July      13 11   0     0     36.5   0     0.1879
July      13 12   0     0     36.5   0     0.18509
July      13 13   0     0     36.5   0     0.17807
July      13 14   0     0     36.5   0     0.176
July      13 15   0     0     36.5   0     0.17108
July      13 16   0     0     36.5   0     0.15176
July      13 17   0     5.5   31     0     0.15196
July      13 18   0     0     31     7.5   0.15544
July      13 19   0     0     31     7.5   0.17525
July      13 20   0     0     31     7.5   0.17771
July      13 21   0     0     31     7.5   0.18135
July      13 22   0     0     31     7.5   0.17627
July      13 23   0     0     31     7.5   0.17604
July      13 24   0     0     31     7.5   0.17578
July      14 1    0     0     31     7.5   0.16691
July      14 2    0     0     31     7.5   0.16499
July      14 3    0     0     31     7.5   0.16435
July      14 4    0     0     31     7.5   0.1639
July      14 5    0     0     31     7.5   0.16356
July      14 6    0     0     31     7.5   0.16405
July      14 7    0     0     31     7.5   0.16627
July      14 8    0     5.5   25.5   0     0.16903
July      14 9    0     0     25.5   0     0.16683
July      14 10   0     0     25.5   0     0.16997
July      14 11   0     0     25.5   0     0.17192
July      14 12   0     0     25.5   0     0.17455
July      14 13   0     0     25.5   0     0.17574
July      14 14   0     0     25.5   0     0.17554
July      14 15   0     0     25.5   0     0.16783
July      14 16   0     0     25.5   0     0.16499
July      14 17   0     5.5   20     0     0.16396
July      14 18   0     0     20     7.5   0.16477
July      14 19   0     0     20     7.5   0.16668
July      14 20   0     0     20     7.5   0.16807
July      14 21   0     0     20     7.5   0.17091
July      14 22   0     0     20     7.5   0.16832
July      14 23   0     0     20     7.5   0.16814
July      14 24   0     0     20     7.5   0.16575
July      15 1    0     0     20     7.5   0.15106
July      15 2    0     0     20     7.5   0.13682
July      15 3    3.8   0     23.8   7.5   0.13616
July      15 4    0     0     23.8   7.5   0.1362
July      15 5    0     0     23.8   7.5   0.13908
July      15 6    0     0     23.8   7.5   0.13897
July      15 7    0     0     23.8   7.5   0.17016
July      15 8    0     5.5   18.3   0     0.16729
July      15 9    0     0     18.3   0     0.16664
July      15 10   0     0     18.3   0     0.16712
July      15 11   0     0     18.3   0     0.16207
July      15 12   0     0     18.3   0     0.16208
July      15 13   0     0     18.3   0     0.16491
July      15 14   0     0     18.3   0     0.16647
July      15 15   0     0     18.3   0     0.16618
July      15 16   0     0     18.3   0     0.16634
July      15 17   0     5.5   12.8   0     0.16693
July      15 18   0     0     12.8   7.5   0.16663
July      15 19   0     0     12.8   7.5   0.16696
July      15 20   0     0     12.8   7.5   0.16576
July      15 21   0     0     12.8   7.5   0.16538
July      15 22   0     0     12.8   7.5   0.16458
July      15 23   0     0     12.8   7.5   0.16035
July      15 24   0     0     12.8   7.5   0.15805
July      16 1    0     0     12.8   7.5   0.1655
July      16 2    0     0     12.8   7.5   0.16424
July      16 3    0     0     12.8   7.5   0.16319
July      16 4    0     0     12.8   7.5   0.16259
July      16 5    0     0     12.8   7.5   0.15472
July      16 6    0     0     12.8   7.5   0.14998
July      16 7    0     0     12.8   7.5   0.15169
July      16 8    0     0     12.8   7.5   0.16002
July      16 9    0     0     12.8   7.5   0.13826
July      16 10   0     0     12.8   7.5   0.05417
July      16 11   6.2   0     19     7.5   0.03667
July      16 12   7.5   0     26.5   7.5   0.02984
July      16 13   7.5   0     34     7.5   0.0108
July      16 14   7.5   0     41.5   7.5   0.00197
July      16 15   7.5   0     49     7.5   0.00193
July      16 16   7.5   0     56.5   7.5   0.00173
July      16 17   7.5   0     64     7.5   0.00106
July      16 18   0     0     64     7.5   0.05515
July      16 19   0     0     64     7.5   0.1648
July      16 20   0     0     64     7.5   0.16882
July      16 21   0     0     64     7.5   0.16825
July      16 22   0     0     64     7.5   0.16736
July      16 23   0     0     64     7.5   0.16712
July      16 24   0     0     64     7.5   0.16698
July      17 1    0     0     64     7.5   0.1601
July      17 2    0     0     64     7.5   0.15916
July      17 3    0     0     64     7.5   0.15804
July      17 4    0     0     64     7.5   0.15707
July      17 5    0     0     64     7.5   0.15806
July      17 6    0     0     64     7.5   0.15842
July      17 7    0     0     64     7.5   0.16162
July      17 8    0     0     64     7.5   0.16203
July      17 9    0     0     64     7.5   0.16159
July      17 10   0     0     64     7.5   0.15735
July      17 11   0     0     64     7.5   0.12952
July      17 12   0     0     64     7.5   0.1198
July      17 13   0     0     64     7.5   0.09274
July      17 14   0     0     64     7.5   0.0882
July      17 15   0     0     64     7.5   0.12153
July      17 16   0     0     64     7.5   0.15234
July      17 17   0     0     64     7.5   0.16087
July      17 18   0     0     64     7.5   0.16095
July      17 19   0     0     64     7.5   0.16141
July      17 20   0     0     64     7.5   0.16027
July      17 21   0     0     64     7.5   0.16007
July      17 22   0     0     64     7.5   0.15968
July      17 23   0     0     64     7.5   0.15508
July      17 24   0     0     64     7.5   0.1572
July      18 1    0     0     64     7.5   0.15855
July      18 2    0     0     64     7.5   0.15731
July      18 3    0     0     64     7.5   0.1566
July      18 4    0     0     64     7.5   0.15627
July      18 5    0     0     64     7.5   0.15604
July      18 6    0     0     64     7.5   0.15702
July      18 7    0     0     64     7.5   0.16072
July      18 8    0     5.5   58.5   0     0.16082
July      18 9    0     0     58.5   0     0.15971
July      18 10   0     0     58.5   0     0.16021
July      18 11   0     0     58.5   0     0.16045
July      18 12   0     0     58.5   0     0.16035
July      18 13   0     0     58.5   0     0.15899
July      18 14   0     0     58.5   0     0.16009
July      18 15   0     0     58.5   0     0.16052
July      18 16   0     0     58.5   0     0.16057
July      18 17   0     5.5   53     0     0.16023
July      18 18   0     0     53     7.5   0.16008
July      18 19   0     0     53     7.5   0.16005
July      18 20   0     0     53     7.5   0.16002
July      18 21   0     0     53     7.5   0.16006
July      18 22   0     0     53     7.5   0.16009
July      18 23   0     0     53     7.5   0.15787
July      18 24   0     0     53     7.5   0.15741
July      19 1    0     0     53     7.5   0.15667
July      19 2    0     0     53     7.5   0.15658
July      19 3    0     0     53     7.5   0.15673
July      19 4    0     0     53     7.5   0.15601
July      19 5    0     0     53     7.5   0.15537
July      19 6    0     0     53     7.5   0.15574
July      19 7    0     0     53     7.5   0.16188
July      19 8    0     5.5   47.5   0     0.16272
July      19 9    0     0     47.5   0     0.16633
July      19 10   0     0     47.5   0     0.16624
July      19 11   0     0     47.5   0     0.16567
July      19 12   0     0     47.5   0     0.16448
July      19 13   0     0     47.5   0     0.16331
July      19 14   0     0     47.5   0     0.16266
July      19 15   0     0     47.5   0     0.16193
July      19 16   0     0     47.5   0     0.16084
July      19 17   0     5.5   42     0     0.16188
July      19 18   0     0     42     7.5   0.16353
July      19 19   0     0     42     7.5   0.1642
July      19 20   0     0     42     7.5   0.16381
July      19 21   0     0     42     7.5   0.16279
July      19 22   0     0     42     7.5   0.16086
July      19 23   0     0     42     7.5   0.15783
July      19 24   3.8   0     45.8   7.5   0.1532
July      20 1    0     0     45.8   7.5   0.16045
July      20 2    0     0     45.8   7.5   0.16034
July      20 3    0     0     45.8   7.5   0.16008
July      20 4    0     0     45.8   7.5   0.1593
July      20 5    0     0     45.8   7.5   0.15775
July      20 6    0     0     45.8   7.5   0.15395
July      20 7    0     0     45.8   7.5   0.16015
July      20 8    0     5.5   40.3   0     0.16081
July      20 9    0     0     40.3   0     0.16529
July      20 10   0     0     40.3   0     0.16606
July      20 11   0     0     40.3   0     0.16534
July      20 12   0     0     40.3   0     0.16578
July      20 13   0     0     40.3   0     0.16635
July      20 14   0     0     40.3   0     0.16681
July      20 15   0     0     40.3   0     0.16637
July      20 16   0     0     40.3   0     0.16602
July      20 17   0     5.5   34.8   0     0.166
July      20 18   0     0     34.8   7.5   0.16447
July      20 19   0     0     34.8   7.5   0.16381
July      20 20   0     0     34.8   7.5   0.16309
July      20 21   0     0     34.8   7.5   0.164
July      20 22   0     0     34.8   7.5   0.16323
July      20 23   0     0     34.8   7.5   0.16232
July      20 24   0     0     34.8   7.5   0.1605
July      21 1    0     0     34.8   7.5   0.16195
July      21 2    0     0     34.8   7.5   0.16219
July      21 3    0     0     34.8   7.5   0.16224
July      21 4    0     0     34.8   7.5   0.16208
July      21 5    0     0     34.8   7.5   0.16183
July      21 6    0     0     34.8   7.5   0.1625
July      21 7    0     0     34.8   7.5   0.16938
July      21 8    0     5.5   29.3   0     0.1759
July      21 9    0     0     29.3   0     0.21993
July      21 10   0     0     29.3   0     0.21919
July      21 11   0     0     29.3   0     0.21937
July      21 12   0     0     29.3   0     0.2197
July      21 13   0     0     29.3   0     0.23357
July      21 14   0     0     29.3   0     0.23288
July      21 15   0     0     29.3   0     0.20592
July      21 16   0     0     29.3   0     0.1873
July      21 17   0     5.5   23.8   0     0.18608
July      21 18   0     0     23.8   7.5   0.1874
July      21 19   0     0     23.8   7.5   0.19905
July      21 20   0     0     23.8   7.5   0.199
July      21 21   0     0     23.8   7.5   0.18735
July      21 22   0     0     23.8   7.5   0.18867
July      21 23   0     0     23.8   7.5   0.17859
July      21 24   0     0     23.8   7.5   0.16443
July      22 1    0     0     23.8   7.5   0.16576
July      22 2    0     0     23.8   7.5   0.1647
July      22 3    0     0     23.8   7.5   0.16392
July      22 4    0     0     23.8   7.5   0.16361
July      22 5    0     0     23.8   7.5   0.16334
July      22 6    0     0     23.8   7.5   0.16394
July      22 7    0     0     23.8   7.5   0.16448
July      22 8    0     5.5   18.3   0     0.16509
July      22 9    0     0     18.3   0     0.17118
July      22 10   0     0     18.3   0     0.18137
July      22 11   0     0     18.3   0     0.19902
July      22 12   0     0     18.3   0     0.19906
July      22 13   0     0     18.3   0     0.1981
July      22 14   0     0     18.3   0     0.19164
July      22 15   0     0     18.3   0     0.17929
July      22 16   0     0     18.3   0     0.17929
July      22 17   0     5.5   12.8   0     0.17466
July      22 18   0     0     12.8   7.5   0.18738
July      22 19   0     0     12.8   7.5   0.18738
July      22 20   0     0     12.8   7.5   0.16947
July      22 21   0     0     12.8   7.5   0.16543
July      22 22   0     0     12.8   7.5   0.16426
July      22 23   0     0     12.8   7.5   0.16355
July      22 24   0     0     12.8   7.5   0.16365
July      23 1    0     0     12.8   7.5   0.1689
July      23 2    0     0     12.8   7.5   0.16797
July      23 3    0     0     12.8   7.5   0.16766
July      23 4    0     0     12.8   7.5   0.16625
July      23 5    0     0     12.8   7.5   0.16479
July      23 6    0     0     12.8   7.5   0.16609
July      23 7    0     0     12.8   7.5   0.16443
July      23 8    0     0     12.8   7.5   0.16246
July      23 9    0     0     12.8   7.5   0.16381
July      23 10   0     0     12.8   7.5   0.16721
July      23 11   0     0     12.8   7.5   0.16834
July      23 12   0     0     12.8   7.5   0.16848
July      23 13   0     0     12.8   7.5   0.16864
July      23 14   0     0     12.8   7.5   0.16784
July      23 15   0     0     12.8   7.5   0.16738
July      23 16   0     0     12.8   7.5   0.16616
July      23 17   0     0     12.8   7.5   0.16349
July      23 18   0     0     12.8   7.5   0.1645
July      23 19   0     0     12.8   7.5   0.16835
July      23 20   0     0     12.8   7.5   0.16874
July      23 21   0     0     12.8   7.5   0.16845
July      23 22   0     0     12.8   7.5   0.16607
July      23 23   0     0     12.8   7.5   0.16497
July      23 24   0     0     12.8   7.5   0.16491
July      24 1    0     0     12.8   7.5   0.1734
July      24 2    0     0     12.8   7.5   0.17286
July      24 3    0     0     12.8   7.5   0.17269
July      24 4    0     0     12.8   7.5   0.17258
July      24 5    0     0     12.8   7.5   0.17091
July      24 6    0     0     12.8   7.5   0.17163
July      24 7    0     0     12.8   7.5   0.17016
July      24 8    0     0     12.8   7.5   0.16991
July      24 9    0     0     12.8   7.5   0.1684
July      24 10   0     0     12.8   7.5   0.16323
July      24 11   0     0     12.8   7.5   0.1503
July      24 12   7.5   0     20.3   7.5   0.10037
July      24 13   7.5   0     27.8   7.5   0.07172
July      24 14   7.5   0     35.3   7.5   0.06035
July      24 15   7.5   0     42.8   7.5   0.05009
July      24 16   7.5   0     50.3   7.5   0.08814
July      24 17   0     0     50.3   7.5   0.15054
July      24 18   0     0     50.3   7.5   0.17181
July      24 19   0     0     50.3   7.5   0.16931
July      24 20   0     0     50.3   7.5   0.16934
July      24 21   0     0     50.3   7.5   0.16877
July      24 22   0     0     50.3   7.5   0.16813
July      24 23   0     0     50.3   7.5   0.16804
July      24 24   0     0     50.3   7.5   0.16732
July      25 1    0     0     50.3   7.5   0.17129
July      25 2    0     0     50.3   7.5   0.17114
July      25 3    0     0     50.3   7.5   0.17055
July      25 4    0     0     50.3   7.5   0.1699
July      25 5    0     0     50.3   7.5   0.16827
July      25 6    0     0     50.3   7.5   0.15569
July      25 7    0     0     50.3   7.5   0.16269
July      25 8    0     5.5   44.8   0     0.1778
July      25 9    0     0     44.8   0     0.17435
July      25 10   0     0     44.8   0     0.1742
July      25 11   0     0     44.8   0     0.17392
July      25 12   0     0     44.8   0     0.17393
July      25 13   0     0     44.8   0     0.17323
July      25 14   0     0     44.8   0     0.17008
July      25 15   0     0     44.8   0     0.16949
July      25 16   0     0     44.8   0     0.16907
July      25 17   0     5.5   39.3   0     0.16879
July      25 18   0     0     39.3   7.5   0.16856
July      25 19   0     0     39.3   7.5   0.16894
July      25 20   0     0     39.3   7.5   0.16863
July      25 21   0     0     39.3   7.5   0.16816
July      25 22   0     0     39.3   7.5   0.16893
July      25 23   0     0     39.3   7.5   0.16883
July      25 24   0     0     39.3   7.5   0.16827
July      26 1    0     0     39.3   7.5   0.16265
July      26 2    0     0     39.3   7.5   0.16637
July      26 3    0     0     39.3   7.5   0.16471
July      26 4    0     0     39.3   7.5   0.16321
July      26 5    0     0     39.3   7.5   0.16266
July      26 6    0     0     39.3   7.5   0.15708
July      26 7    0     0     39.3   7.5   0.17481
July      26 8    0     5.5   33.8   0     0.17822
July      26 9    0     0     33.8   0     0.17731
July      26 10   0     0     33.8   0     0.17694
July      26 11   0     0     33.8   0     0.17714
July      26 12   0     0     33.8   0     0.16458
July      26 13   0     0     33.8   0     0.13089
July      26 14   0     0     33.8   0     0.1261
July      26 15   0     0     33.8   0     0.12234
July      26 16   0     0     33.8   0     0.11892
July      26 17   0     5.5   28.3   0     0.12124
July      26 18   7.5   0     35.8   7.5   0.1272
July      26 19   7.5   0     43.3   7.5   0.13679
July      26 20   0     0     43.3   7.5   0.15266
July      26 21   0     0     43.3   7.5   0.17511
July      26 22   0     0     43.3   7.5   0.1499
July      26 23   0     0     43.3   7.5   0.14959
July      26 24   7.5   0     50.8   7.5   0.13496
July      27 1    0     0     50.8   7.5   0.15404
July      27 2    0     0     50.8   7.5   0.13964
July      27 3    5.7   0     56.5   7.5   0.13743
July      27 4    0     0     56.5   7.5   0.13762
July      27 5    0     0     56.5   7.5   0.13979
July      27 6    7.5   0     64     7.5   0.13586
July      27 7    0     0     64     7.5   0.17303
July      27 8    0     5.5   58.5   0     0.16916
